Gangulakunta;1217232002010100;01.03.2015;995;5000;5;25;
Raminepalli;1217232001020100;01.03.2015;634;5000;4;20;
Prasannayapalli;1217232001040200;01.03.2015;6163;5000;20;10;
Chinmaiahnagar;1217232001040200;01.04.2015;3163;5000;14;70;
Prasannayapalli;1217232001040200;01.04.2015;3000;5000;14;70;
M.C.Palli;1216635004010300;01.04.2015;601;5000;2;10;
Gundala; 1217005007030700;28.02.2015;442;5000;3;15;
Manelanepalli;;25.02.2015;468;5000;3;15;
Immampuram;;28.02.2015;1017;5000;4;20;
Molakalapenta thanda;;01.01.2014;718;5000;8;40;
Puliguttapalli; 1217005016041600;18.02.2015;1083;5000;6;30;
Puliguttapalli Pedda Thanda;;22.10.2014;1083;5000;3;15;
Venkatareddypalli;1217409008020700;25.04.2014 ;1646;5000;2;10;
Thimmepalli;1217409001040100;01.03.2015;799;5000;3;15;
c.chikkepalli;1217410014021500;24.04.2013 ;1071;5000;5;25;
Somanapalli;1217410011031100;01.07.2014 ;966;5000;2;10;
Namanakapalli;1217410017022000;01.03.2015;591;5000;4;20;
Narasapuram;1217410009010800;19.09.2014 ;2144;5000;4;20;
pacharumekalapalli;1217408002050200;25.06.2013;813;5000;3;15;
Yadiki;1217408003010400;20.08.2014;4500;5000;8;40;
Chandana;1217408002010200;6.1.2015;2260;5000;3;15;
Chintalayapalli;1217408006040600;27.2.2015;945;5000;3;15;
Medimakulapalli;1217407011011400;31.03.2015;1107;5000;4;20;
Ravuludiki;1217007012011500;;;5000;;0;
J. Rampuram;1216904016011800;01.03.2014;715;5000;;0;
R.Kottala;1216903007020700;01.05.2015;884;5000;4;22;
Kondannagari palli & SC Colony;124101003;31/07/2014;1682;3000;14;48.00;
Enugu Gundu Thanda, Nadimi Thanda & Gutta Meeda Thanda H/o Kota palli;124101305;19/08/2014;623;3000;4;12.00;
P.R. Thanda H/o Mundlavari palli;124101603;01/09/2014;94;3000;2;6.00;
Thammisettyvari palli;124101111;01/10/2014;380;3000;4;12.00;
Nallagutla palli ;124101304;06/10/2014;726;5000;5;20.00;
Moralla palli ;124100901;08/10/2014;740;5000;4;12.00;
T. Sadum;124101202;09/10/2014;810;5000;4;20.00;
Ethodu H.W.;124100326;03/11/2014;735;3000;5;15.00;
Vanka palli & H.W.  H/o Tanakal ;124100301;25/12/2014;1013;3000;8;40.00;
Kotha  kuruva palli H/o Mallireddy palli;124101703;08/01/2015;590;3000;4;12.00;
Kamatham palli H/o G.N. Thanda;124101130;04/02/2015;208;3000;2;6.00;
Tanakal Town (Part);124100308;19/02/2015;2356;3000;10;12.00;
Ethodu ;124100301;21/02/2015;822;3000;6;35.00;
Balasamudram H.W.;124101201;21/02/2015;290;3000;2;18.00;
Mareppagari palli;124101002;21/02/2015;761;3000;6;15.00;
Nandigani palli & Beri palli H/o T. Sadum;124101004;24/02/2014;900;3000;5;15.00;
Pedda kadapala vari palli & Dudekula Colony (Kunta Marava palli);124100906;07/04/2015;482;3000;5;25.00;
Bonthala palli & H.W.;124101901;11/03/2015;1623;5000;10;50.00;
Mabbuvari palli H/o D.T. palli;124101109;11/03/2015;281;5000;3;15.00;
C.G. Project ;124101402;29/04/2015;96;5000;2;10.00;
Gangasanivari palli H/o Tavalam;124101135;05/05/2015;240;5000;3;15.00;
Thirumalaiahgari palli H/o Korthikota;124100517;05/05/2015;121;5000;2;10.00;
Gurram bylu H/o Mallireddy palli;124101801;11/05/2015;174;5000;1;5.00;
Adireddy palli H/o Mallireddy palli;124101802;11/05/2015;57;5000;1;5.00;
Tanakal Town (Part-II)[Budidi Gadda Bazar, SBI Street, Main Road & R.S. Road];124100301;16/05/2015;2356;5000;10;50.00;
Gorlavandla palli;124200805;01.04.2014;534;3000;3;15.00;
Neelivandla palli;124200601;13/01/2015;383;3000;4;12.00;
Gorantlavari palli H/o Ubicherla;124200802;21/05/2015;470;5000;3;15.00;
T. Pedda Thanda H/o Thummala bylu;12161430020302;25/08/2014;766;5000;5;25.00;
Kataru palli ;12161430051606;15/10/2014;1348;5000;6;30.00;
K. Golla palli & Madiga palli H/o Kataru palli ;12161430051706;15/10/2014;1183;5000;5;20.00;
Kotla palli H/o Gandlapenta;12161430050604;01/11/2014;382;3000;2;6.00;
