District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Mandal,Count,Capacity,,Sub basin,Count,Capacity
,,,,KOTANANDURU,1,0.000353,,Bandameedi Agraharam,1,0.000353,,,,,,,,,,918,6,0.002118
,,,,KOTAURATLA,1,0.000353,,Bandapalle,4,0.001412,,,,,,,,,,919,10,0.00353
,,,,KOTHACHERUVU,8,0.002824,,Bandarlagudem,1,0.000353,,,,,,,,,,920,19,0.006707
,,,,KOTHAPALLE,3,0.001059,,Bandarlapalle,17,0.006001,,,,,,,,,,922,11,0.003883
,,,,KOTHURU,14,0.004942,,Bandarupalle,1,0.000353,,,,,,,,,,923,20,0.00706
,,,,KOWTHALAM,5,0.001765,,Bandellapaya,1,0.000353,,,,,,,,,,925,22,0.007766
,,,,KOYYALAGUDEM,1,0.000353,,Bandiveligandla,1,0.000353,,,,,,,,,,926,1,0.000353
,,,,KRISHNAGIRI,4,0.001412,,Bandlapalle,24,0.008472,,,,,,,,,,928,3,0.001059
,,,,KUDAIR,25,0.008825,,Bandrevu,8,0.002824,,,,,,,,,,929,6,0.002118
,,,,KUNDURPI,21,0.007413,,Bandur,1,0.000353,,,,,,,,,,930,7,0.002471
,,,,KUPPAM,64,0.022592,,Bantupalle,4,0.001412,,,,,,,,,,933,3,0.001059
,,,,KURABALAKOTA,45,0.015885,,Barna,1,0.000353,,,,,,,,,,934,7,0.002471
,,,,KURICHEDU,15,0.005295,,Barrinkalapadu,5,0.001765,,,,,,,,,,935,53,0.018709
,,,,KURNOOL,1,0.000353,,Basava Puram,4,0.001412,,,,,,,,,,936,6,0.002118
,,,,KURUPAM,18,0.006354,,Basavanahalli,2,0.000706,,,,,,,,,,937,12,0.004236
,,,,LAKKIREDDIPALLE,31,0.010943,,Basavapalem,1,0.000353,,,,,,,,,,938,27,0.009531
,,,,LAKSHMINARSUPETA,40,0.01412,,Basavapalle,3,0.001059,,,,,,,,,,941,7,0.002471
,,,,LAVERU,9,0.003177,,Basine Palle,1,0.000353,,,,,,,,,,943,8,0.002824
,,,,LEPAKSHI,13,0.004589,,Bathalapalle,4,0.001412,,,,,,,,,,945,7,0.002471
,,,,LINGALA,2,0.000706,,Battamdoddi,14,0.004942,,,,,,,,,,1001,14,0.004942
,,,,LINGAPALEM,3,0.001059,,Battupalle,4,0.001412,,,,,,,,,,1002,8,0.002824
,,,,LINGASAMUDRAM,16,0.005648,,Battuvaripalle,1,0.000353,,,,,,,,,,1003,12,0.004236
,,,,MACHERLA,2,0.000706,,Bavuruvaka,2,0.000706,,,,,,,,,,1004,26,0.009178
,,,,MADAKASIRA,72,0.025416,,Bayyappagaripalle,3,0.001059,,,,,,,,,,1005,7,0.002471
,,,,MADANAPALLE,64,0.022592,,Bayyavaram,1,0.000353,,,,,,,,,,1006,13,0.004589
,,,,MAKAVARAPALEM,5,0.001765,,Bedrahalli,1,0.000353,,,,,,,,,,1007,56,0.019768
,,,,MAKKUVA,10,0.00353,,Bedusu Palle,2,0.000706,,,,,,,,,,1008,36,0.012708
,,,,MANDASA,80,0.02824,,Beechiganipalle,1,0.000353,,,,,,,,,,1009,41,0.014473
,,,,MANUBOLU,1,0.000353,,Beera Kuppam,1,0.000353,,,,,,,,,,1010,1,0.000353
,,,,MAREDUMILLI,5,0.001765,,Beerangi,3,0.001059,,,,,,,,,,1011,30,0.01059
,,,,MARKAPUR,14,0.004942,,Beggilipalle,1,0.000353,,,,,,,,,,1012,30,0.01059
,,,,MARRIPADU,52,0.018356,,Belagallu,2,0.000706,,,,,,,,,,1013,72,0.025416
,,,,MARRIPUDI,95,0.033535,,Belagam,1,0.000353,,,,,,,,,,1014,23,0.008119
,,,,MARTUR,38,0.013414,,Bellamkondavari Palem,1,0.000353,,,,,,,,,,1015,69,0.024357
,,,,MELIAPUTTI,43,0.015179,,Bellukola,2,0.000706,,,,,,,,,,1016,15,0.005295
,,,,MIDTHUR,17,0.006001,,Belodu,3,0.001059,,,,,,,,,,1017,22,0.007766
,,,,MUDDANUR,39,0.013767,,Belupalle,1,0.000353,,,,,,,,,,1018,5,0.001765
,,,,MUDIGUBBA,35,0.012355,,Bennikal,2,0.000706,,,,,,,,,,1019,21,0.007413
,,,,MULAKALACHERUVU,21,0.007413,,Bethalapuram,10,0.00353,,,,,,,,,,1020,32,0.011296
,,,,MUNDLAMURU,53,0.018709,,Bethamcherla,2,0.000706,,,,,,,,,,1021,50,0.01765
,,,,MYLAVARAM,2,0.000706,,Bethapalle,5,0.001765,,,,,,,,,,1022,18,0.006354
,,,,NAGALAPURAM,10,0.00353,,Bevanapalle,1,0.000353,,,,,,,,,,1023,28,0.009884
,,,,NAGARI,80,0.02824,,Bevina Halli,3,0.001059,,,,,,,,,,1024,17,0.006001
,,,,NAGULUPPALAPADU,4,0.001412,,Bhagampalle,1,0.000353,,,,,,,,,,1025,14,0.004942
,,,,NAIDUPET,3,0.001059,,Bhairasamudram,1,0.000353,,,,,,,,,,1026,56,0.019768
,,,,NALLACHERUVU,52,0.018356,,Bhakarapet,2,0.000706,,,,,,,,,,1027,60,0.02118
,,,,NALLAJERLA,1,0.000353,,Bhatla Machavaram,4,0.001412,,,,,,,,,,1029,114,0.040242
,,,,NALLAMADA,27,0.009531,,Bhatlakanupuru,1,0.000353,,,,,,,,,,1031,3,0.001059
,,,,NAMBULIPULIKUNTA,8,0.002824,,Bheemaboinapalem,3,0.001059,,,,,,,,,,1032,12,0.004236
,,,,NANDALUR,10,0.00353,,Bheemaganipalle,3,0.001059,,,,,,,,,,1033,9,0.003177
,,,,NANDAVARAM,1,0.000353,,Bheemavaram,8,0.002824,,,,,,,,,,1034,160,0.05648
,,,,NANDIGAM,46,0.016238,,Bheemunicheruvu,2,0.000706,,,,,,,,,,1035,6,0.002118
,,,,NANDIGAMA,3,0.001059,,Bheemunipadu,1,0.000353,,,,,,,,,,1036,18,0.006354
,,,,NANDIKOTKUR,4,0.001412,,Bhiriboddapadu,3,0.001059,,,,,,,,,,1037,50,0.01765
