District,Count,Capacity,,Mandal,Count,Capacity,,Village,Count,Capacity,,Basin,Count,Capacity,,Subbasin,Count,Capacity,,Microbasin,Count,Capacity
,,,,IRALA,7,0.002471,,Arur,2,0.000706,,,,,,,,,,808,103,0.036359
,,,,JAGGAYYAPETA,4,0.001412,,Atchaba,2,0.000706,,,,,,,,,,809,72,0.025416
,,,,JALADANKI,1,0.000353,,Atchavalle,5,0.001765,,,,,,,,,,810,72,0.025416
,,,,JALUMURU,47,0.016591,,Atcherla,2,0.000706,,,,,,,,,,811,24,0.008472
,,,,JAMI,21,0.007413,,Athava,1,0.000353,,,,,,,,,,812,46,0.016238
,,,,JAMMALAMADUGU,5,0.001765,,Athiralladinne,1,0.000353,,,,,,,,,,813,61,0.021533
,,,,JANAKAVARAMPANGULURU,18,0.006354,,Athur,5,0.001765,,,,,,,,,,814,6,0.002118
,,,,JANGAREDDIGUDEM,12,0.004236,,Atmakur,10,0.00353,,,,,,,,,,816,4,0.001412
,,,,JEELUGU MILLI,5,0.001765,,Atmaramuni Agraharam,1,0.000353,,,,,,,,,,817,26,0.009178
,,,,JIYYAMMAVALASA,15,0.005295,,Attada,2,0.000706,,,,,,,,,,818,4,0.001412
,,,,JUPADU BUNGALOW,5,0.001765,,Attali,2,0.000706,,,,,,,,,,819,45,0.015885
,,,,K KOTAPADU,27,0.009531,,Auranga Bad,5,0.001765,,,,,,,,,,820,96,0.033888
,,,,K.V.B.PURAM,6,0.002118,,Avalangi,8,0.002824,,,,,,,,,,821,41,0.014473
,,,,KADAPA,2,0.000706,,Avatarabad,1,0.000353,,,,,,,,,,823,60,0.02118
,,,,KADIRI,12,0.004236,,Avulamanda,1,0.000353,,,,,,,,,,824,53,0.018709
,,,,KALAKADA,47,0.016591,,Avulampalle,1,0.000353,,,,,,,,,,825,28,0.009884
,,,,KALASAPADU,9,0.003177,,Avulapalle,8,0.002824,,,,,,,,,,826,23,0.008119
,,,,KALIGIRI,6,0.002118,,Avulathimmanapalle,3,0.001059,,,,,,,,,,827,21,0.007413
,,,,KALIKIRI,64,0.022592,,Ayinada,1,0.000353,,,,,,,,,,828,36,0.012708
