FID,Shape,RWHS_Proposed_FID,FID_1_1,FID_1_1_1,FID_1_1__1,FID_1_1__2,FID_1_1__3,dmcode,dcode91,mcode91,DNAME,DMNAME,MANDAL_,loctn_d,dsply_n,RWHS_C,RWHS_Cap,fp,fp_cap,cd,cd_cap,others,others_cap,miTank,MITANK_CAP,PT,PT_CAP
118,Polygon,118,118,118,118,118,118,704,7,4,GUNTUR,DACHEPALLE,Dachepalle,280,DACHEPALLE,0,0,221,0.001547,0,0,0,0,4,0.017604,0,0
119,Polygon,119,119,119,119,119,119,914,9,14,NELLORE,DAGADARTHI,Dagadarthi,222,DAGADARTHI,0,0,121,0.000847,12,0.004236,3,0.001059,45,0.099914,11,0.003883
120,Polygon,120,120,120,120,120,120,934,9,34,NELLORE,DAKKILI,Dakkili,258,DAKKILI,31,0.010943,316,0.002212,16,0.005648,0,0,1,0.001446,17,0.006001
121,Polygon,121,121,121,121,121,121,813,8,13,PRAKASAM,DARSI,Darsi,257,DARSI,45,0.015885,248,0.001736,102,0.036006,44,0.015532,72,0.217041,16,0.005648
122,Polygon,122,122,122,122,122,122,217,2,17,VIZIANAGARAM,DATTIRAJERU,Dattirajeru,555,DATTIRAJERU,15,0.005295,2063,0.014441,175,0.061775,13,0.004589,339,0.845618,7,0.002471
123,Polygon,123,123,123,123,123,123,524,5,24,WEST GODAVARI,DENDULURU,Denduluru,413,DENDULURU,0,0,280,0.00196,0,0,0,0,58,0.773528,0,0
124,Polygon,124,124,124,124,124,124,227,2,27,VIZIANAGARAM,DENKADA,Denkada,564,DENKADA,0,0,573,0.004011,190,0.06707,41,0.014473,146,0.616506,8,0.002824
125,Polygon,125,125,125,125,125,125,1327,13,27,KURNOOL,DEVANAKONDA,Devanakonda,594,DEVANAKONDA,62,0.021886,48,0.000336,403,0.142259,94,0.033182,23,0.225075,44,0.015532
126,Polygon,126,126,126,126,126,126,307,3,7,VISHAKAPATNAM,DEVARAPALLE1,Devarapalle1,633,DEVARAPALLE (VISAKHAPATNAM),21,0.007413,170,0.00119,1,0.000353,8,0.002824,90,0.264006,6,0.002118
127,Polygon,127,127,127,127,127,127,514,5,14,WEST GODAVARI,DEVARAPALLE2,Devarapalle2,403,DEVARAPALLE,5,0.001765,268,0.001876,4,0.001412,0,0,29,0.38688,0,0
128,Polygon,128,128,128,128,128,128,414,4,14,EAST GODAVARI,DEVIPATNAM,Devipatnam,438,DEVIPATNAM,39,0.013767,3,0.000021,44,0.015532,8,0.002824,100,0.09809,0,0
129,Polygon,129,129,129,129,129,129,1237,12,37,ANANTAPUR,DHARMAVARAM,Dharmavaram,93,DHARMAVARAM,58,0.020474,1072,0.007504,163,0.057539,18,0.006354,88,0.844087,41,0.014473
130,Polygon,130,130,130,130,130,130,1349,13,49,KURNOOL,DHONE,Dhone,56,DHONE,61,0.021533,589,0.004123,211,0.074483,25,0.008825,16,0.190676,13,0.004589
