Anantapur,HINDUPUR,6,0.002118,230,0.00161,92,0.032476,40,0.01412,28,0.477876,31,0.010943
Srikakulam,HIRAMANDALAM,6,0.002118,157,0.001099,126,0.044478,24,0.008472,237,0.31744,3,0.001059
Kurnool,HOLAGUNDA,15,0.005295,158,0.001106,76,0.026828,18,0.006354,13,0.10331,7,0.002471
Visakhapatnam,HUKUMPETA,51,0.018003,0,0,0,0,0,0,0,0,0,0
East Godavari,I POLAVARAM,0,0,20,0.00014,0,0,0,0,0,0,0,0
Krishna,IBRAHIMPATNAM,27,0.009531,227,0.001589,5,0.001765,3,0.001059,9,0.214609,0,0
Srikakulam,ICHCHAPURAM,2,0.000706,30,0.00021,61,0.021533,41,0.014473,136,0.289982,10,0.00353
Nellore,INDUKURPET,0,0,0,0,0,0,0,0,0,0,0,0
Prakasam,INKOLLU,0,0,88,0.000616,1,0.000353,1,0.000353,2,0.019582,1,0.000353
Guntur,IPURU,247,0.087191,168,0.001176,1,0.000353,0,0,10,0.144111,0,0
West Godavari,IRAGAVARAM,0,0,0,0,0,0,0,0,0,0,0,0
Chittoor,IRALA,16,0.005648,232,0.001624,30,0.01059,7,0.002471,69,0.416193,27,0.009531
East Godavari,JAGGAMPETA,36,0.012708,479,0.003353,29,0.010237,0,0,148,0.159375,13,0.004589
Krishna,JAGGAYYAPETA,63,0.022239,661,0.004627,35,0.012355,4,0.001412,16,0.296698,0,0
Nellore,JALADANKI,27,0.009531,220,0.00154,5,0.001765,1,0.000353,57,0.15475,10,0.00353
Srikakulam,JALUMURU,0,0,147,0.001029,69,0.024357,47,0.016591,275,0.281765,7,0.002471
Vizianagaram,JAMI,0,0,530,0.00371,56,0.019768,21,0.007413,79,0.336116,0,0
Kadapa,JAMMALAMADUGU,4,0.001412,168,0.001176,78,0.027534,5,0.001765,22,0.073238,6,0.002118
Prakasam,JANAKAVARAMPANGULU,1,0.000353,473,0.003311,27,0.009531,18,0.006354,14,0.154304,6,0.002118
West Godavari,JANGAREDDIGUDEM,12,0.004236,728,0.005096,8,0.002824,12,0.004236,44,0.416357,16,0.005648
West Godavari,JEELUGUMILLI,64,0.022592,517,0.003619,33,0.011649,5,0.001765,33,0.19337,24,0.008472
Vizianagaram,JIYYAMMA VALASA,0,0,1,0.000007,60,0.02118,15,0.005295,1,0.000763,3,0.001059
Kurnool,JUPADU BUNGALOW,12,0.004236,26,0.000182,61,0.021533,5,0.001765,16,0.255978,1,0.000353
Visakhapatnam,K KOTAPADU,56,0.019768,485,0.003395,55,0.019415,27,0.009531,295,0.563276,0,0
Chittoor,K V B PURAM,60,0.02118,639,0.004473,35,0.012355,6,0.002118,174,1.023607,20,0.00706
Kadapa,CUDDAPAH MANDAL,2,0.000706,13,0.000091,1,0.000353,2,0.000706,10,0.04915,0,0
East Godavari,KADIAM,0,0,1,0.000007,0,0,0,0,16,0.231856,0,0
Anantapur,KADIRI,43,0.015179,585,0.004095,55,0.019415,12,0.004236,96,0.374619,23,0.008119
Krishna,KAIKALUR,0,0,0,0,0,0,0,0,0,0,0,0
East Godavari,KAJULURU,0,0,5,0.000035,0,0,0,0,0,0,0,0
East Godavari,KAKINADA (URBAN),0,0,26,0.000182,0,0,0,0,0,0,0,0
East Godavari,KAKINADA (RURAL),0,0,50,0.00035,0,0,0,0,0,0,0,0
Guntur,KAKUMANU,0,0,126,0.000882,0,0,0,0,1,0.003266,0,0
Chittoor,KALAKADA,45,0.015885,56,0.000392,54,0.019062,47,0.016591,113,0.41667,50,0.01765
Kadapa,KALASAPADU,12,0.004236,118,0.000826,67,0.023651,9,0.003177,34,0.213329,22,0.007766
Krishna,KALIDINDI,0,0,0,0,0,0,0,0,0,0,0,0
Nellore,KALIGIRI,2,0.000706,403,0.002821,60,0.02118,6,0.002118,3,0.032472,21,0.007413
Chittoor,KALIKIRI,2,0.000706,85,0.000595,65,0.022945,64,0.022592,141,2.815629,41,0.014473
West Godavari,KALLA,0,0,0,0,0,0,0,0,0,0,0,0
Kurnool,KALLUR,63,0.022239,214,0.001498,160,0.05648,15,0.005295,9,0.073317,4,0.001412
Nellore,KALUVOYA,77,0.027181,442,0.003094,10,0.00353,0,0,29,0.049495,9,0.003177
Anantapur,KALYANDURG,95,0.033535,1265,0.008855,213,0.075189,41,0.014473,13,0.238243,100,0.0353
Kadapa,KAMALAPURAM,5,0.001765,737,0.005159,58,0.020474,9,0.003177,2,0.005837,6,0.002118
